的	白 勹 4
御	彳 卸字旁 卩
骑	马 大 可
幕	莫 巾
匹	匸 见字底
扑	扌 卜
彩	采 彡
耗	二 木 毛
距	足旁 匸 叚右角
鸡	又 鸟
闲	门 木
颜	立无横 厂 彡 页
贸	留字头 贝
绍	纟 召
洪	氵 龷 八
屋	尸 至
症	疒 正
鲁	鱼 日
疼	疒 夊 冬字底
兽	兽字头 同字心
疾	疒 矢
臂	尸 口 辛 青字底
妞	女 5 里无日
玄	亠 幺
燕	廿 口 北字旁 匕 灬
凭	亻 壬 几
袋	亻 弋 衣
胖	月 丷 举字底
映	日 见二 大
卷	龹 㔾
番	釆 田
啊	口 阝 可
泰	春字头 氺
秀	禾 乃
拂	扌 弓 乔字底
乌	乌
鸟	鸟
惯	忄 毌 贝
瞧	目 隹 灬
昏	卬字旁 弋二 日
范	落字框 㔾
惨	忄 厶 大 彡
圈	囗 龹 㔾
参	厶 大 彡
漫	氵 曼
审	宀 申
娇	女 夭 乔字底
耽	耳 冖 见字底
狠	犭 艮
夺	大 寸
购	贝 勹 厶
厌	厂 犬
负	尔字头 贝
债	亻 责
竹	竹
忆	忄 6
睛	目 龶 青字底
郎	4 即字旁 阝
宽	宀 贲字腰 见
仿	亻 方
摩	广 林 手
亡	亡
季	禾 子
茨	贲字腰 冫 欠
鼻	自 田 丌
跃	足旁 夭
随	阝 左字框 青字底 辶
丰	丰
灰	左字框 火
旦	旦
郑	丷 天 阝
吹	口 欠
研	石 开
吻	口 勹 横两撇
俩	亻 1 内 人
岂	山 己
坦	土 旦
川	川
厚	厂 日 子
瘦	疒 臼 2 又
潮	氵 十 日 十 月
固	囗 古
宋	宀 木
签	竹头 亼 应字心
悄	忄 尚字头 青字底
郭	享字头 子 阝
仲	亻 中
偶	亻 田 禺字底
陪	阝 立 口
扩	扌 广
孟	子 皿
伏	亻 犬
冬	夊 冬字底
乘	禾框 北字旁 匕
堡	亻 口 木 土
侵	亻 彐 冖 又
幽	山 幺 幺
载	十 戈 车旁
核	木 亥
遭	曹字头 日 辶
犹	犭 尤
模	木 莫
欣	斤 欠
盟	日 月 皿
胳	月 各
焦	隹 灬
唉	口 厶 矢
扬	扌 5 横两撇
赏	龸 口 贝
拳	龹 手
宇	宀 1 于无横
拼	扌 丷 开
硬	石 更
扶	扌 夫
措	扌 龷 日
伍	亻 五
掩	扌 大 电
粗	米 且
虑	虍 心
灭	1 火
繁	卧人 母 攵 糸
估	亻 古
键	钅 聿 廴
捞	扌 荧字头 力
穷	穴 力
塔	土 贲字腰 合
甘	甘
篇	竹头 户 扁字心
暖	日 爫 1 左字框 又
累	田 糸
忧	忄 尤
尺	尸 4
颗	田 木 页
岸	山 厂 干
援	扌 爫 1 左字框 又
磨	广 林 石
瑞	⺩ 山 而
拒	扌 匸 叚右角
悟	忄 五 口
违	韦 辶
瓶	丷 开 瓦
仰	亻 卬字旁 卩
氏	卬字旁 弋二
拔	扌 尤无折 又
仁	亻 二
瞪	目 癶 豆
尸	尸
延	3 延字心无撇 廴
撒	扌 龷 青字底 攵
吟	口 亽 5
躲	身 几 木
叔	上 小 又
佩	亻 风省 1 巾
峰	山 夊 丰
汗	氵 干
符	竹头 亻 寸
壮	丬 士
嫁	女 宀 豕
粮	米 4 艮
抱	扌 勹 巳
贷	亻 弋 贝
桥	木 夭 乔字底
页	页
竞	立 口 见字底
瓦	瓦
访	讠 方
朵	几 木
洁	氵 吉
损	扌 口 贝
申	申
频	止旁 步字底 页
苍	贲字腰 全字头 㔾
仔	亻 子
曼	曼
忠	中 心
醉	酉 亠 人 人 十
径	彳 经右角 工
翼	羽 田 龷 八
贴	贝 占
丢	壬 厶
梁	氵 刀 横两点 木
羊	羊
旷	日 广
彻	彳 七 刀
韦	韦
邓	又 阝
航	舟 亠 几
振	扌 辰
尔	尔字头 小
彼	彳 皮
予	予
担	扌 旦
奈	大 示
插	扌 千 臼
遍	户 扁字心 辶
终	纟 夊 冬字底
骗	马 户 扁字心
戴	十 戈 田 龷 八
秦	春字头 禾
薄	落字框 甫 寸
皱	尔字头 彐 皮
激	氵 白 方 攵
娃	女 圭
灾	宀 火
堆	土 隹
箭	竹头 䒑 青字底 刂
患	中 中 心
摸	扌 莫
擦	扌 宀 祭字头 示
甜	舌 甘
倍	亻 立 口
蓝	贲字腰 临字旁 临右角 皿
旗	方 卧人 其
撤	扌 充字头 青字底 攵
授	扌 爱字头 又
唇	辰 口
售	隹 口
艾	贲字腰 㐅
熊	厶 青字底 匕 匕 灬
旋	方 卧人 疋
冠	冖 二 见字底 寸
佳	亻 圭
整	束 攵 正
漂	氵 覀 示
抵	扌 卬字旁 弋二 4
君	聿三 3 口
