奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
党	411	596769	龸·口·[见字底]	djy
华	412	1486037	亻·[化字边]·十	mmu
城	413	1548499	土·戊·乚	ajw
石	414	992090	石·石·石	uss
级	415	1393611	纟·及·及	ysj
整	416	896112	束·攵·正	kyc
府	417	476316	广·亻·寸	xmp
离	418	831422	亠·㐅·禸	mhe
况	419	329243	冫·口·[见字底]	fjy
亚	420	1193707	一·业·业	ely
请	421	4064912	讠·龶·[青字底]	ipv
技	422	575549	扌·十·又	hur
际	423	332956	阝·示·示	zqs
约	424	1513215	纟·勹·丶	yfz
示	425	594643	示·示·示	qss
复	426	544673	[卧人]·日·夊	fdr
病	427	878390	疒·一·内	kee
息	428	527046	自·心·心	xnx
究	429	284843	穴·九·九	wuj
线	430	2245409	纟·一·戈	yeq
似	431	263170	亻·[以字旁]·人	mmk
官	432	653975	宀·㠯·㠯	lph
火	433	894298	火·火·火	xhh
断	434	415379	米·乚·斤	xwl
精	435	694638	米·龶·[青字底]	xpv
满	436	1062333	氵·[贲字腰]·人	obk
支	437	816286	十·又·又	ury
视	438	789215	礻·见·见	rej
消	439	559070	氵·[尚字头]·[青字底]	odv
越	440	1717927	走·戉·戉	fju
器	441	989386	吅·犬·吅	pzp
容	442	598404	宀·谷·谷	lug
照	443	688266	日·召·灬	dtb
须	444	347374	彡·页·页	pxy
九	445	586097	九·九·九	ujj
增	446	986166	土·[曾字头]·日	aqd
研	447	548081	石·开·开	uck
写	448	2113122	冖·一·一	nee
称	449	1747056	禾·[尔字头]·小	wih
企	450	619751	[全字头]·[止旁]·[止旁]	kki
八	451	805918	八·八·八	tbb
功	452	500141	工·力·力	mil
吗	453	3795655	口·马·马	jum
包	454	1303157	勹·巳·巳	fcs
片	455	1087809	片·片·片	epp
史	456	836451	口·㐅·㐅	jhi
委	457	412044	禾·女·女	wgn
乎	458	179446	丿·丷·[于无横]	asu
查	459	829980	木·旦·旦	svd
轻	460	613224	[车旁]·[经右角]·工	nrm
易	461	1118385	日·勹·[横两撇]	dfi
早	462	980483	日·十·十	dus
曾	463	1548731	[曾字头]·日·日	qdr
除	464	656758	阝·[全字头]·[余字底]	zkw
农	465	404911	冖·[衣省]·[衣省]	nci
找	466	2175421	扌·戈·戈	hqg
装	467	1015599	丬·士·衣	czc
广	468	856847	广·广·广	xgg
显	469	617949	日·业·业	dly
吧	470	4794757	口·巴·巴	jvb
阿	471	1327032	阝·可·可	znk
李	472	2060026	木·子·子	syi
标	473	782886	木·示·示	sqs
谈	474	611225	讠·火·火	ixx
吃	475	8181885	口·[卧人]·乙	jfw
图	476	2520287	囗·夊·[冬字底]	wrf
念	477	340694	亽·乚·心	fwn
六	478	848635	六·六·六	mll
引	479	533140	弓·丨·丨	lds
历	480	342264	厂·力·力	ail
首	481	1125190	䒑·自·自	sxi
医	482	734307	匸·矢·矢	afs
局	483	1140612	尸·乚·口	twj
突	484	285348	穴·犬·犬	wzq
专	485	691960	二·乚·丶	twz
费	486	1214421	弓·[乔字底]·贝	llq
号	487	2246384	口·丂·丂	jfk
尽	488	455217	尸·丶·[冬字底]	tzf
另	489	939379	口·力·力	jil
周	490	1517877	[周字框]·[周字心]·[周字心]	gij
较	491	1281807	[车旁]·六·㐅	nmh
注	492	890257	氵·丶·王	ozv
语	493	744694	讠·五·口	inj
仅	494	1101970	亻·又·又	mry
考	495	1362213	耂·丂·丂	qfk
落	496	477641	[落字框]·各·各	cdg
青	497	703263	龶·[青字底]·[青字底]	pvy
随	498	752381	阝·[左字框]·辶	zco
选	499	1610119	[告字头]·[见字底]·辶	pyo
列	500	669539	歹·刂·刂	uxd
武	501	532388	一·弋·[止旁]	eak
红	502	1395814	纟·工·工	ymg
响	503	385022	口·[向字框]·口	jqj
虽	504	413411	口·虫·虫	jcc
推	505	975214	扌·隹·隹	hou
势	506	473423	扌·九·力	hui
参	507	609473	厶·大·彡	okp
希	508	713299	㐅·[左字框]·巾	hcf
古	509	1011693	古·古·古	ngg
众	510	658046	[全字头]·人·人	kkk
构	511	330970	木·勹·厶	sfo
房	512	1218873	户·方·方	ruf
半	513	843691	丷·[举字底]·[举字底]	shs
节	514	923456	[贲字腰]·[节字底]·[节字底]	bbj
土	515	597806	土·土·土	att
投	516	1217235	扌·殳·殳	hbs
某	517	1784580	甘·木·木	csm
案	518	693354	宀·女·木	lgs
黑	519	1293777	黑·黑·黑	nhh
维	520	990307	纟·隹·隹	you
革	521	181209	革·革·革	ygg
划	522	405340	戈·刂·刂	qxd
敌	523	105212	舌·攵·攵	myp
致	524	557891	至·攵·攵	ryp
陈	525	1513024	阝·[东二]·小	zbh
