# 奕码优化版 拆分表 (官方拆分 100% 保真, 根名为主根字符)
的	白 勹 4
喁	口 田 内
嫘	女 田 纟
罟	四 古
钌	金 了
裼	衣 日 勹 彡
愦	心 虫 贝
蝽	虫 丰 日
锗	金 者
衿	衣 令 5
粢	冫 欠 米
醵	酉 虍 豕
跫	工 几 4 足
鐾	尸 口 辛 金
廛	广 里 八 土
墉	土 广 聿 用
哌	口 厂 衣
扦	手 千
堇	革 二
婧	女 丰 月
暌	日 八 天
罱	四 十 冂 羊
镞	金 方 气 矢
蹰	足 厂 豆 寸
陟	耳 止 小
鳔	鱼 西 示
脘	月 宀 二 儿
岿	山 刀 彐
侔	亻 厶 牛
郾	匚 日 女 耳
唿	口 勹 彡 心
砹	石 艹 乂
疴	疒 可
麸	丰 夂 夫
薨	艹 四 冖 歹 匕
滁	氵 耳 人 禾
偾	亻 十 艹 贝
拊	手 亻 寸
撺	手 穴 中 中
呒	口 无
狯	犬 人 云
猢	犬 古 月
椁	木 高 子
榱	木 衣 冂 二
罾	四  日
铳	金 云 儿
裎	衣 口 王
鳚	鱼 尸 示 寸
眦	目 止 匕
璎	王 贝 贝 女
崞	山 高 子
缇	纟 日 疋
蝣	虫 方 气 子
萑	艹 隹
狲	犬 子 小
缱	纟 虫 吅 辶
晷	日 夂 卜 口
冼	冫 牛 儿
痧	疒 氵 小 3
蕖	艹 氵 匚 匚 木
狍	犬 勹 巳
憷	心 林 疋
锛	金 大 十 艹
窨	穴 音
袼	衣 各
帏	巾 韦
儋	亻 角 厂 八 言
绨	纟 丷 
疠	疒 1 刀
蘩	艹 气 母 夂 纟
嵝	山 米 女
庀	广 匕
汜	氵 巳
炅	日 火
煳	火 古 月
泶	龸 水
瓠	大 1 丂 瓜
窳	穴 瓜 瓜
虮	虫 几
蚰	虫 由
邰	厶 口 耳
苊	艹 厂 卩
砀	石 5 彡
捩	手 户 犬
蹉	足 羊 工
莪	艹 手 戈
螽	夂 冫 虫 虫
蘼	艹 广 林 非
槔	木 白 大 十
曛	日 千 黑
蛲	虫 戈 兀
鹾	卜 囗 乂 羊 工
隹	隹
犸	犬 马
衄	3 皿 5 土
銎	工 几 4 金
泫	氵 亠 幺
玢	王 八 刀
辊	车 日 比
瞋	目 直 八
墀	土 尸 水 牛
酐	酉 干
堞	土 廿 5 木
尥	尤 勹 4
嚯	口 雨 隹
猗	犬 大 可
逑	求 辶
逯	彐 水 辶
硖	石 夫 丷
噻	口 宀 井 八 土
嵛	山 合 月 刀
畀	田 兀
鲃	鱼 巴
偬	亻 勹 彡 4 心
鄞	革 二 耳
呖	口 厂 力
溧	氵 西 木
嬲	田 力 女 田 力
肭	月 内
鹈	丷  鸟
鹱	鸟 艹 隹 又
窭	穴 米 女
黧	禾 勹 3 黑
谵	言 角 厂 八 言
沆	氵 亠 几
嫒	女  右 又
塬	土 厂 白 小
缣	纟 丷 彐 业
篯	竹 金 1 戈
酃	雨 吅 口 耳
喱	口 厂 里
泔	氵 甘
溘	氵 土 厶 皿
迕	气 十 辶
肀	聿
秫	禾 木 4
裣	衣 合 龸
铋	金 心 3
蒌	艹 米 女
曩	日 衣 吅 井
赀	止 匕 贝
箪	竹  十
朊	月 二 儿
鳙	鱼 广 聿 用
仫	亻 3 厶
钎	金 千
芑	艹 己
胙	月 乍
盱	目 1 十
糇	米 亻 匚 矢
挹	手 口 巴
捭	手  十
悱	心 非
鬟	长 四  衣
崤	山 乂 右 月
澶	氵 亠 吅 旦
甾	川 田
欹	大 可 欠
瞽	壴 十 又 目
钇	金 6
鹪	隹 火 鸟
鞔	革 象 儿
缡	纟 亠 乂 冂 内
铯	金 角 巴
鲚	鱼 文 
嘬	口 日 耳 又
庹	广 廿 尸 4
渖	氵 宀 申
湔	氵 丷 月 刀
玎	王 丁
锜	金 大 可
锊	金 爪 寸
舾	舟 西
籼	米 山
阊	门 日 日
祕	示 心 3
猊	犬 臼 儿
燹	豕 豕 火
葑	艹 圭 寸
蓼	艹 羽 人 彡
幛	巾 音 十
岣	山 句
浼	氵 象 儿
甯	宀 心 用
瑷	王  右 又
敫	白 方 夂
钔	金 门
钫	金 方
锼	金 臼 2 又
锿	金 衣 口
癔	疒 音 心
穸	穴 夕
褊	衣 户 册
蚍	虫 比
篦	竹  乂 比
麇	鹿 禾
樘	木 龸 口 土
钯	金 巴
铒	金 耳
莩	艹 爪 子
嵯	山 羊 工
逭	宀 吅 辶
遄	山 而 辶
戗	人 卩 戈
睃	目 厶 八 夂
瀣	氵 歹 又 非 1
皴	厶 八 夂 皮
泮	氵 丷 手
轫	车 刀 4
褰	宀 井 八 衣
炱	厶 口 火
醍	酉 日 疋
锱	金 川 田
篁	竹 白 王
葚	艹 其 5
驽	女 又 马
辚	车 米 夕 㐄
睥	目  十
鸺	亻 木 鸟
筇	竹 工 耳
戥	日 生 戈
髀	骨  十
驺	马 角 彐
哙	口 人 云
濞	氵 自 田 兀
逄	夂 㐄 辶
桤	木 山 己
炻	火 石
磙	石 衣 八 厶
疳	疒 甘
醭	酉 业 羊 4
鳇	鱼 白 王
鹮	四  衣 鸟
迓	牙 辶
眇	目 小 3
楮	木 者
砜	石 几 乂
菘	艹 木 八 厶
馇	食 木 旦
栌	木 卜 尸
醐	酉 古 月
唢	口 龸 贝
獍	犬 音 儿
殳	殳
仡	亻 气 6
刿	山 夕 刀
葜	艹 丰 刀 大
薅	艹 女 辰 寸
湓	氵 八 刀 皿
搴	宀 井 八 手
尕	乃 小
磴	石 八 豆
锝	金 旦 寸
镅	金 尸 目
艚	舟  日
殄	歹 人 彡
暝	日 冖 日 六
祢	示 角 小
豉	豆 十 又
垴	土 亠 乂 冂
瓿	立 口 瓦
煺	火 艮 辶
蟥	虫 廿 由
蹀	足 廿 5 木
黼	业 㡀 甫
氙	气 山
铑	金 者 匕
蒡	艹 立 方
杪	木 小 3
肜	月 彡
膂	方 气 衣 月
砬	石 立
硭	石 艹 亡
酽	酉 1 业 厂
踟	足 矢 口
鲷	鱼 冂 吉
蒴	艹 丷 屮 月
藁	艹 高 木
猡	犬 四 夕
旒	方 气 云 川
硇	石  乂
锍	金 云 川
鞲	革 井 冂 土
哿	力 口 可
皤	白 采 田
哏	口 艮
殍	歹 爪 子
漯	氵 田 纟
谂	言 令 5 心
跶	足 大 辶
橥	犬 者 木
镬	金 艹 隹 又
鸲	句 鸟
姝	女 3 未
茭	艹 六 乂
窆	穴 3 之
髟	长
畋	田 夂
溏	氵 广 聿 口
鲔	鱼 右 月
喹	口 大 圭
吣	口 心
羼	尸 羊 羊 羊
缧	纟 田 纟
窬	穴 合 月 刀
骘	耳 止 小 马
赉	未 丷 贝
镓	金 宀 豕
邳	不 1 耳
璩	王 虍 豕
鸸	而 鸟
涠	氵 囗 韦
溲	氵 臼 2 又
孥	女 又 子
敉	米 夂
筌	竹 人 王
垓	土 亥
苒	艹 冂 土
荸	艹  子
甓	尸 口 辛 瓦
锪	金 勹 彡 心
镄	金 弓  贝
脔	亦 内 人
艟	舟 立 里
眬	目 龙
彘	彐 匕 矢 匕
檠	艹 句 夂 木
胩	月 上 卜
旄	方 气 毛
祆	示 天
糗	米 自 犬
嗐	口 宀 丰 口
珉	王 民
霪	雨 氵 爪 王
冁	 十 尸 廿 衣
妤	女 予
猱	犬 矛 木
缵	纟 牛 儿 牛 儿 贝
坼	土 斤 4
阚	门 5 耳 夂
獒	丰 刀 夂 犬
隰	耳 日 幺 幺 火
搠	手 丷 屮 月
辋	车 冂 丷 亡
兕	冂 兀
仵	亻 气 十
叻	口 力
蠃	亡  虫
跬	足 圭
郗	乂 右 巾 耳
郄	乂 右 厶 耳
搦	手 弓 冫 弓 冫
柙	木 甲
侉	亻 大 1 丂
秭	禾 
绡	纟 龸 月
戢	口 耳 戈
襦	衣 雨 而
貅	豸 亻 木
骖	马 厶 大 彡
娈	亦 女
嶷	山 匕 矢 厶 疋
蘧	艹 虍 豕 辶
坻	土 卯 七 4
燠	火  米 大
髹	长 亻 木
麈	鹿 4 王
绐	纟 厶 口
豸	豸
腩	月 十 冂 羊
妣	女 比
糍	米 丷 幺 幺
貔	豸  乂 比
郜	牛 口 耳
尻	尸 九
狺	犬 言
镗	金 龸 口 土
徼	彳 白 方 夂
屣	尸 彳 止 疋
翀	羽 中
睚	目 厂 圭
芘	艹 比
撄	手 贝 贝 女
瞢	艹 四 冖 目
玟	王 文
钲	金 正
踬	足 厂 十 贝
纛	丰 母 且 小 3 纟
卺	5 水 1 卩
骢	马  夂 心
贳	廿 5 贝
茕	 5 十
簋	竹 艮 皿
絷	手 九 4 纟
媵	月 夫 女
殂	歹 且
觚	角 瓜
跖	足 石
翥	者 羽
爨	臼 冂  冖 林 大 火
辂	车 各
瓞	瓜 3 夫
荦	 牛
骐	马 其
绂	纟 右 又
圉	囗 土 羊
犴	犬 干
猁	犬 禾 刀
舴	舟 乍
侑	亻 右 月
潋	氵 合 龸 夂
郇	勹 日 耳
荜	艹 比 十
棰	木 千 艹 二
彖	彐 豕
蒗	 4 艮
猞	犬 人 舌
洇	氵 囗 大
埴	土 直
栲	木 者 丂
悛	心 厶 八 夂
徂	彳 且
陬	耳 耳 又
翮	鬲 羽
眙	目 厶 口
杌	木 兀
圹	土 广
趵	足 勹 4
毽	毛 聿 廴
邴	1 内 耳
廨	广 角 刀 牛
茌	艹 亻 士
铖	金 戊 5
嫫	女 莫
黻	业 㡀 右 又
陔	耳 亥
箨	竹 手 又 手
埸	土 日 勹 彡
郫	 十 耳
萁	艹 其
怿	心 又 手
茛	艹 艮
剀	山 己 刀
谮	言 无 无 日
隈	耳 田 1 衣
悫	 几 心
拶	手 川 夕
蒽	艹 囗 大 心
鬲	鬲
喈	口 比 白
颡	又 双 木 页
籀	竹 手 卯 田
鼯	鼠 五 口
帱	巾 丰 寸
酡	酉 宀 匕
箐	竹 丰 月
梃	木 王 廴
仉	亻 几
缌	纟 田 心
慝	匚 艹 右 心
腈	月 丰 月
桫	木 氵 小 3
篌	竹 亻 匚 矢
蹁	足 户 册
埕	土 口 王
枨	木 长
椟	木 十 5 冫 大
觇	占 见
葸	艹 田 心
沭	氵 木 4
骟	马 户 羽
鹣	丷 彐 业 鸟
骀	马 厶 口
聱	丰 刀 夂 耳
瘳	疒 羽 人 彡
蕈	艹 西 日 十
垆	土 卜 尸
柰	木 示
筲	竹 龸 月
趑	走 冫 欠
仝	人 工
舄	臼 勹 火
檑	木 雨 田
恝	丰 刀 心
䓨	 缶
黥	黑 高 小
耒	二 木
疔	疒 丁
鹋	艹 田 鸟
伛	亻 匚 乂
坫	土 占
彳	彳
滹	氵 虍 3 丷 十
哕	口 山 夕
瘅	疒  十
鲞	夫 鱼
揸	手 木 旦
攮	手  吅 井 衣
圯	土 巳
酹	酉 爪 寸
昃	日 厂 人
晡	日 甫
眚	生 目
篚	竹 匚 非
塍	月 夫 土
绁	纟 廿 5
蓐	艹 辰 寸
崦	山 大 电
蓥	 金
椹	木 其 5
澉	氵 5 耳 夂
颃	亠 几 页
訾	止 匕 言
柝	木 斤 4
癀	疒 廿 由
贶	贝 口 儿
瞵	目 米 夕 㐄
缑	纟 亻 匚 矢
缳	纟 四  衣
筚	竹 比 十
狳	犬 人 禾
葳	艹 戊 1 女
佾	亻 八 月
豳	山 豕 豕
耋	者 匕 至
爿	片
暾	日 高 子 夂
忭	心 亠 卜
阼	耳 乍
埭	土 聿 水
哓	口 戈 兀
溽	氵 辰 寸
颟	艹 1 内 人 页
桷	木 角
眭	目 圭
仳	亻 比
柁	木 宀 匕
浍	氵 人 云
澌	氵 其 斤
埤	土  十
檫	木 宀 八 示
遘	井 冂 土 辶
髫	长 召
儇	亻 四  衣
萆	艹  十
瘥	疒 羊 工
谳	言 十 冂 羊 犬
栳	木 者 匕
眄	目 1 2 5 5
莳	艹 日 寸
蚺	虫 冂 土
茼	艹 冂 
槠	木 言 者
邡	方 耳
狝	犬 角 小
箅	竹 田 兀
铙	金 戈 兀
刳	大 1 丂 刀
觏	井 冂 土 见
黹	业 㡀
薤	艹 歹 非 1
簏	竹 鹿
绗	纟 行
怃	心 无
僬	亻 隹 火
桴	木 爪 子
酲	酉 口 王
霈	雨 氵  2
埝	土 令 5 心
悝	心 里
扃	户 冂 口
搋	手 厂 虍 几
亍	彳
圬	土 1 丂
铞	金 口 巾
戋	1 戈
耧	二 木 米 女
莨	艹 4 艮
擐	手 四  衣
蒉	艹 虫 贝
牾	牛 五 口
戽	户 斗
蓁	艹 丰 禾
泺	氵 卯 小
岜	山 巴
瞀	矛 夂 目
檎	木 人 亠 乂 冂 内
殪	歹  豆
瞍	目 臼 2 又
漶	氵 中 中 心
貊	豸 百
糌	米 夂 卜 日
赆	贝 尸 4 冫
柽	木 又 土
砑	石 牙
鲥	鱼 日 寸
躐	足 川 鼠
茆	艹 卯
觌	十 5 冫 大 见
岙	天 山
黟	黑 夕 夕
蕤	艹 豕 生
貘	豸 莫
绋	纟 弓 
纩	纟 广
蹯	足 采 田
惝	心 龸 口
瘗	疒 夫 丷 土
蜩	虫 冂 吉
秕	禾 比
撙	手 酋 寸
渫	氵 廿 5 木
禊	示 丰 刀 大
掎	手 大 可
芈	艹 手
坭	土 尸 匕
歃	千 臼 欠
锞	金 田 木
瘼	疒 莫
轾	车 至
柒	氵 七 木
滏	氵 八 乂 金
忮	心 十 又
觫	角 束
艋	舟 子 皿
橼	木 纟 彐 豕
蓊	艹 八 厶 羽
甍	艹 四 冖 瓦
垧	土  口
菪	艹 宀 石
漭	氵 艹 犬 艹
洎	氵 自
岈	山 牙
坩	土 甘
猃	犬 合 龸
镔	金 宀 斤 八
蝓	虫 合 月 刀
祧	示 儿 冫 冫
糨	米 弓 口 虫
栝	木 舌
艨	舟  1 豕
揠	手 匚 日 女
礅	石 高 子 夂
螗	虫 广 聿 口
蝥	矛 夂 虫
垌	土 冂 
猹	犬 木 旦
呙	口 内
俜	亻 由 丂
赙	贝 甫 寸
垸	土 宀 二 儿
忉	心 刀
蔸	艹 白 卯 匚 儿
踣	足 立 口
轹	车 卯 小
趱	走 牛 儿 牛 儿 贝
钽	金 旦
醅	酉 立 口
鲻	鱼 川 田
埒	土 爪 寸
裒	衣 臼
溱	氵 丰 禾
荇	艹 行
耜	二 木 吅
篼	竹 白 卯 匚 儿
绠	纟 更
苘	艹 冂 口
蜱	虫  十
滠	氵 耳 双
堠	土 亻 匚 矢
汔	氵 气 6
稆	禾 口 口
毵	厶 大 彡 毛
坜	土 厂 力
箜	竹 穴 工
蔟	艹 方 气 矢
羝	羊 卯 七 4
瘃	疒 豕 4
沩	氵 4 力 4
溷	氵 囗 豕
觜	止 匕 角
夼	大 川
疬	疒 厂 力
蜾	虫 田 木
庳	广  十
汆	人 水
鲳	鱼 日 日
罍	田 田 田 缶
蓍	艹 者 匕 日
舯	舟 中
黉	龸 廿 由
酎	酉 寸
悃	心 囗 木
洫	氵 3 皿
瑗	王 爪 1 右 又
昝	夂 卜 日
栊	木 龙
镥	金 鱼 日
桕	木 臼
楗	木 聿 廴
堙	土 西 土
颥	雨 而 页
馘	丷 自 戈 
襻	衣 林 乂 乂 大 手
璺	臼 冂  冖 玉
掊	手 立 口
毹	合 月 刀 毛
蕞	艹 日 耳 又
芴	艹 勹 彡
轵	车 口 八
廒	广 丰 刀 夂
嵫	山 丷 幺 幺
葶	艹 高 丁
腠	月 丰 天
埚	土 口 内
镡	金 西 日 十
蓠	艹 亠 乂 冂 内
铟	金 囗 大
砼	石 人 工
棹	木 卜 日 十
鹇	门 木 鸟
泖	氵 卯
廑	广 革 二
郐	人 云 耳
瘵	疒 八 示
陧	耳 里
酞	酉 大 4
瀹	氵 合 吅 口 册
杩	木 马
蝤	虫 酋
缲	纟 口 吅 木
狃	犬 5 土
劓	自 田 兀 刀
恧	而 心
枧	木 见
舣	舟 4 乂
轺	车 召
舳	舟 由
塄	土 四 方
唪	口 丰 手
氍	目 目 隹 毛
糈	米 疋 月
躜	足 牛 儿 牛 儿 贝
珙	王 廿 八
蝰	虫 大 圭
筅	竹 牛 儿
铗	金 夫 丷
瘌	疒 束 刀
臌	月 壴 十 又
邾	3 未 耳
綮	户 夂 纟
椠	车 斤 木
箬	竹 艹 右
雩	雨 1 丂
鲼	鱼 十 艹 贝
珧	王 儿 冫 冫
跽	足 己 心
洧	氵 右 月
鳜	鱼 厂 丷 屮 欠
蕻	艹 长 廿 八
邶	片 匕 耳
旰	日 干
骒	马 田 木
棼	林 八 刀
墁	土 曼
埘	土 日 寸
畎	田 犬
菰	艹 子 瓜
剞	大 可 刀
椐	木 尸 古
桄	木 龸 兀
鲦	鱼 夂 木
鲐	鱼 厶 口
唼	口 立 女
稂	禾 4 艮
孑	了 1
垤	土 至
摅	手 虍 心
驵	马 且
檗	尸 口 辛 木
磲	石 氵 匚 匚 木
蝾	虫  木
屺	山 己
罨	四 大 电
甏	壴 彡 瓦
陴	耳  十
鬏	长 禾 火
谫	言 丷 月 刀 刀
鳐	鱼 爪 缶
唛	口 丰 夂
剡	火 火 刀
噍	口 隹 火
莛	艹 王 廴
劂	厂 丷 屮 欠 刀
荑	艹 大 弓
皲	冖 车 皮
瘕	疒 尸 二 匚 又
堍	土 象 儿 4
蕺	艹 口 耳 戈
脬	月 爪 子
酴	酉 人 禾
筢	竹 手 巴
洚	氵 夂 㐄
黪	黑 厶 大 彡
嫜	女 音 十
鞁	革 皮
吖	口 丷 2
鲭	鱼 丰 月
蛸	虫 龸 月
茚	艹 卯 1 卩
脒	月 米
垲	土 山 己
爝	火 爪 四 艮 寸
犰	犬 九
镘	金 曼
搌	手 尸 廿 衣
蔌	艹 束 欠
瘐	疒 臼 人
醑	酉 疋 月
劐	艹 隹 又 刀
劁	隹 火 刀
沔	氵 1 2 5 5
铊	金 宀 匕
邗	干 耳
淠	氵 田 兀
矧	矢 弓 2
仂	亻 力
镦	金 高 子 夂
躔	足 广 里 八 土
搛	手 丷 彐 业
阽	耳 占
镝	金 立 古
樨	木 尸 水 牛
鼷	鼠 爪 幺 大
耵	耳 丁
刭	又 工 刀
趼	足 开
眢	夕 卩 目
脞	月 人 人 土
酏	酉 也
掭	手 天 小
㬎	日 幺 幺 火
旸	日 5 彡
萜	艹 巾 占
鲣	鱼 刀 又 土
碲	石 立 巾
铪	金 合
瘊	疒 亻 匚 矢
鼢	鼠 八 刀
狁	犬 厶 儿
狴	犬 比 土
埯	土 大 电
痦	疒 五 口
桊	夫 木
菡	艹 5 水 冂
锇	金 手 戈
腧	月 合 月 刀
坌	八 刀 土
豇	豆 工
筜	竹 龸 彐
岍	山 开
傺	亻 八 示
唣	口 白 七
蝻	虫 十 冂 羊
胬	女 又 内 人
锎	金 门 开
屦	尸 彳 米 女
枘	木 内
爇	艹 土 八 土 九 4 火
癃	疒 耳 夂 1 生
酤	酉 古
眵	目 夕 夕
哳	口 手 斤
铴	金 氵 5 彡
䏡	月 示
琚	王 尸 古
锾	金 爪 1 右 又
箦	竹 责
踺	足 聿 廴
赇	贝 求
冱	冫 1 彐
哚	口 几 木
吲	口 弓 2
埏	土 3 止 廴
泐	氵 耳 力
蕹	艹 亠 乡 隹
镪	金 弓 口 虫
茈	艹 止 匕
蒹	艹 丷 彐 业
砘	石 1 屮
墼	车 冂 殳 土
萏	艹 角 臼
胲	月 亥
氆	毛 丷 业 日
辁	车 人 王
腽	月 日 皿
䴓	1 巾 鸟
锔	金 尸 5 口
璁	王  夂 心
鹎	 十 鸟
滗	氵 竹 毛
镎	金 合 手
蜞	虫 其
鄹	耳 又 水 耳
眍	目 匚 乂
鲩	鱼 宀 二 儿
铈	金 亠 巾
柃	木 令
钐	金 彡
飑	几 乂 勹 巳
苈	艹 厂 力
捃	手 彐 3 口
溻	氵 日 羽
艴	弓  角 巴
鲵	鱼 臼 儿
铕	金 右 月
荬	艹 5 冫 大
幞	巾 业 羊 4
锖	金 丰 月
迮	乍 辶
圊	囗 丰 月
鳘	气 母 夂 鱼
粞	米 西
碹	石 宀 1 旦
攉	手 雨 隹
镩	金 穴 中 中
厾	5 土 厶
牿	牛 牛 口
烀	火 3 丷 十
钬	金 火
岽	山 七 小
莶	艹 合 龸
锬	金 火 火
瀵	氵 米 田 廿 八
榍	木 尸 龸 月
筻	竹 更
茺	艹 云 儿
箢	竹 宀 夕 卩
躞	足 言 火 火 又
耩	二 木 井 冂 土
怊	心 召
铼	金 未 丷
铫	金 儿 冫 冫
佴	亻 耳
癍	疒 王 文 王
菝	艹 手 右 又
礓	石 1 田 1 田 1
筘	竹 手 口
芠	艹 文
觖	角 匚 人
鲉	鱼 由
潲	氵 禾 龸 月
襞	尸 口 辛 衣
孓	了 4
锘	金 艹 右
蒐	艹  厶
耔	二 木 子
铘	金 牙 耳
蒎	 厂 衣
耠	二 木 合
巯	又 工 云 川
瘰	疒 田 纟
铚	金 至
茳	 工
氕	气 3
峧	山 六 乂
螋	虫 臼 2 又
舭	舟 比
疰	疒 4 王
痃	疒 亠 幺
鞡	革 手 立
嚆	口 艹 高
耱	二 木 广 林 石
瑖	王 手 殳
膦	月 米 夕 㐄
撖	手 5 耳 夂
醌	酉 日 比
砟	石 乍
镨	金 丷 业 日
钆	金 5
铥	金 王 厶
砫	石 4 王
鲒	鱼 吉
戤	乃 又 皿 戈
㙘	土 西 女
鹛	尸 目 鸟
铌	金 尸 匕
镱	金 音 心
聍	耳 宀 丁
磉	石 又 双 木
宬	宀 戊 5
铹	金  力
痄	疒 乍
蒇	艹 戊 贝
菥	艹 木 斤
嵁	山 其 5
荓	艹 丷 开
㑇	亻 角 彐
粿	米 田 木
鲽	鱼 廿 5 木
孖	子 子
薷	艹 雨 而
浈	氵 卜 贝
铽	金 弋 心
锽	金 白 王
氾	氵 卩
赕	贝 火 火
螵	虫 西 示
耖	二 木 小 3
耢	二 木  力
骣	马 尸 子 子 子
鲘	鱼 厂 
钷	金 匚 口
敔	五 口 夂
锓	金 彐 冖 又
尜	小 大 小
菼	艹 火 火
墚	土 氵 刀 八 木
耤	二 木 廿 日
茋	艹 卯 七 4
碈	石 卯 七 日
䝙	豸 匚 乂
焗	火 尸 5 口
埼	土 大 可
玥	王 月
喆	吉 吉
旻	日 文
珺	王 彐 3 口
璟	王 景
祎	示 韦
憭	心 大 丷 日 小
啰	口 四 夕
赟	文 1 弋 止 贝
瑄	王 宀 1 旦
萩	艹 禾 火
珪	王 圭
鳉	鱼 片 夕 寸
堃	方 方 土
崁	山 土 欠
迺	西 辶
啫	口 者
滘	氵 冖 八 工 口
鸮	口 丂 鸟
齁	自 田 兀 句
嘚	口 彳 旦 寸
纮	纟 右 厶
晞	日 乂 右 巾
昇	日 3 艹
燊	火 火 火 木
芃	艹 几 4
蒨	艹 亻 丰 月
乂	乂
垵	土 宀 女
燚	火 火 火 火
垚	土 土 土
鹟	八 厶 羽 鸟
炆	火 文
惇	心 高 子
珣	王 勹 日
彧	戈  彡
璠	王 采 田
璘	王 米 夕 㐄
靽	革 丷 手
湉	氵 心 舌
嬛	女 四  衣
禛	示 直 八
鼩	鼠 句
颙	田 内 页
阇	门 者
墘	土 十 日 十 气 6
蝘	虫 匚 日 女
柊	木 夂 冫
犇	牛 牛 牛
瓘	王 艹 吅 隹
奭	大 百 百
鲗	鱼 贝 刀
腘	月 囗 玉
骺	骨 厂 
砵	石 木 1
苾	艹 心 3
埗	土 止 小
劼	吉 力
昉	日 方
澪	氵 雨 令
俶	亻 上 小 又
琇	王 禾 乃
弢	弓 屮 又
嫚	女 曼
欸	厶 矢 欠
畬	人 禾 田
鸰	令 鸟
铷	金 女 口
焜	火 日 比
澂	氵 山 1 王 夂
傕	亻 冖 隹
𫖯	儿 冫 冫 页
郤	谷 耳
叕	双 双
槃	舟 殳 木
瑀	王 3 口 内
玠	王 人 
谿	爪 幺 大 谷
棻	艹 八 刀 木
𬱖	由 页
浬	氵 里
昺	日 1 内
玹	王 亠 幺
媞	女 日 疋
琯	王 宀 吅
鹡	冫 冫 人 月 鸟
鸻	行 鸟
浐	氵 立 厂
偲	亻 田 心
鲿	鱼 龸 云
冏	冂 八 口
洸	氵 龸 兀
镠	金 羽 人 彡
僎	亻 巳 巳 廿 八
芣	艹 不
佺	亻 人 王
弇	合 艹
鹀	工 人 人 鸟
亶	亠 吅 旦
洺	氵 夕 口
鲹	鱼 厶 大 彡
獴	犬  1 豕
楯	木 厂 十 目
鼱	鼠 丰 月
珅	王 申
俵	亻 丰 衣
垟	土 羊
沄	氵 云
磡	石 其 5 力
潟	氵 臼 勹 火
瑢	王 宀 谷
璈	王 丰 刀 夂
鄚	莫 耳
谞	言 疋 月
塱	4 艮 月 土
珰	王 龸 彐
滉	氵 日 龸 兀
曈	日 立 里
荖	艹 者 匕
垕	厂  土
飏	几 乂 5 彡
嬿	女 廿 口 片 匕 火
侂	亻 广 3 七
炘	火 斤
脩	亻 夂 月
堉	土 云 月
骝	马 卯 田
玘	王 己
珽	王 王 廴
髎	骨 羽 人 彡
碶	石 丰 刀 大
镲	金 宀 八 示
熜	火  夂 心
璆	王 羽 人 彡
邠	八 刀 耳
遹	矛 冂 八 口 辶
皞	白 白 大 十
豨	豕 乂 右 巾
烜	火 1 旦
玦	王 匚 人
湜	氵 日 疋
愔	心 音
簕	竹 革 力
稃	禾 爪 子
袪	衣 土 厶
淯	氵 云 月
倻	亻 耳 耳
廆	广  厶
莿	艹 朿 刀
鄜	鹿 耳
楙	林 矛
勍	高 小 力
廋	广 臼 2 又
祓	示 右 又
邽	圭 耳
藨	艹 鹿 火
曌	日 月 穴 工
鬘	长 曼
烺	火 4 艮
卬	卯 卩
棨	户 夂 木
鞮	革 日 疋
渟	氵 高 丁
瘆	疒 厶 大 彡
蕗	艹 足 各
湣	氵 民 日
傉	亻 辰 寸
翃	右 厶 羽
瑱	王 直 八
栒	木 勹 日
廙	广 田 廿 八
伋	亻 及
畯	田 厶 八 夂
𫫇	口 1 业 心
萣	艹 宀 疋
鳀	鱼 日 疋
晙	日 厶 八 夂
榖	 1 木
疍	疋 旦
唵	口 大 电
祏	示 石
饸	食 合
嵖	山 木 旦
泚	氵 止 匕
皛	白 白 白
翚	羽 冖 车
溦	氵 山 1 几 夂
鹍	日 比 鸟
絜	丰 刀 纟
甪	3 用
訚	门 言
嫄	女 厂 白 小
玙	王 1 5 1
郿	尸 目 耳
琤	王 角 聿
吽	口 牛
𪟝	责 力
栻	木 弋 工
椪	木 丷 业
咥	口 至
汭	氵 内
狨	犬 戈 右
鳑	鱼 立 方
琎	王 井 辶
稙	禾 直
玭	王 比
崚	山 土 八 夂
崀	山 4 艮
峣	山 戈 兀
屾	山 山
偁	亻 爪 冂 土
锫	金 立 口
祼	示 田 木
罽	四 厂 火 火 刀
鲏	鱼 皮
虓	九 虍 几
溁	氵  木
漈	氵 八 示
烝	5 水 1 火
丏	1 2 5 5
炟	火 旦
沚	氵 止
禤	示 四 羽
毪	毛 厶 牛
捯	手 至 刀
骕	马 聿  八
沇	氵 厶 儿
珝	王 羽
尪	尤 王
忞	文 心
琲	王 非
毳	毛 毛 毛
洈	氵 角 厂 卩
昪	日 厶 艹
蕰	 日 皿
麹	丰 夂 勹 米
饹	食 各
毐	士 毋
颋	王 廴 页
磻	石 采 田
鲬	鱼 厶 用
抔	手 不
禔	示 日 疋
幪	巾  1 豕
秾	禾 冖 衣
硚	石 天 
蓣	艹 予 页
侘	亻 宀 3 七
姮	女 1 旦
圌	囗 山 而
牻	牛 右 5 彡
觋	工 人 人 见
燏	火 矛 冂 八 口
埌	土 4 艮
玕	王 干
袆	衣 韦
汧	氵 开
镤	金 业 羊 4
畤	田 寺
淏	氵 日 天
憙	壴 口 心
扆	户 衣
扞	手 干
牂	片 羊
衎	行 干
嚭	壴 口 不 口
嫪	女 羽 人 彡
枹	木 勹 巳
